,TP,TN,FP,FN,Acc,TPR,FPR,TNR,PPV,AUC,F1-score,G-measure
Dummy,400,0,425,0,0.4848,1.0000,1.0000,0.0000,0.4848,0.5000,0.6531,0.6963
DecisionTree,293,349,76,107,0.7782,0.7325,0.1788,0.8212,0.7940,0.7768,0.7620,0.7626
GaussianNB,346,347,78,54,0.8400,0.8650,0.1835,0.8165,0.8160,0.8407,0.8398,0.8402
MultinomialNB,329,324,101,71,0.7915,0.8225,0.2376,0.7624,0.7651,0.7924,0.7928,0.7933
RandomForest,313,345,80,87,0.7976,0.7825,0.1882,0.8118,0.7964,0.7971,0.7894,0.7894
KNN,328,335,90,72,0.8036,0.8200,0.2118,0.7882,0.7847,0.8041,0.8020,0.8022
NeuralNetwork,323,338,87,77,0.8012,0.8075,0.2047,0.7953,0.7878,0.8014,0.7975,0.7976
Máximo,346,349,101,107,0.8400,0.8650,0.2376,0.8212,0.8160,0.8407,0.8398,0.8402
Media,322.00,339.67,85.33,78.00,0.8020,0.8050,0.2008,0.7992,0.7907,0.8021,0.7972,0.7975
