,"TP","TN","FP","FN","Acc","TPR","FPR","AUC","F1-score","G-measure"
SVM-C0.1,345,331,94,55,0.8194,0.8625,0.2212,0.8207,0.8224,0.8233
SVM-C0.25,344,351,74,56,0.8424,0.8600,0.1741,0.8429,0.8411,0.8413
SVM-C0.5,338,358,67,62,0.8436,0.8450,0.1576,0.8437,0.8398,0.8398
SVM-C1,333,364,61,67,0.8448,0.8325,0.1435,0.8445,0.8388,0.8388
SVM-C5,333,363,62,67,0.8436,0.8325,0.1459,0.8433,0.8377,0.8378
SVM-C10,330,363,62,70,0.8400,0.8250,0.1459,0.8396,0.8333,0.8334
SVM-C50,335,355,70,65,0.8364,0.8375,0.1647,0.8364,0.8323,0.8323
