,TP,TN,FP,FN,Acc,TPR,FPR,TNR,PPV,AUC,F1-score,G-measure
Dummy,445,0,516,0,0.4631,1.0000,1.0000,0.0000,0.4631,0.5000,0.6330,0.6805
DecisionTree,316,420,96,129,0.7659,0.7101,0.1860,0.8140,0.7670,0.7620,0.7375,0.7380
GaussianNB,374,413,103,71,0.8189,0.8404,0.1996,0.8004,0.7841,0.8204,0.8113,0.8118
MultinomialNB,363,390,126,82,0.7836,0.8157,0.2442,0.7558,0.7423,0.7858,0.7773,0.7782
RandomForest,338,422,94,107,0.7908,0.7596,0.1822,0.8178,0.7824,0.7887,0.7708,0.7709
KNN,341,411,105,104,0.7825,0.7663,0.2035,0.7965,0.7646,0.7814,0.7654,0.7654
NeuralNetwork,365,410,106,80,0.8065,0.8202,0.2054,0.7946,0.7749,0.8074,0.7969,0.7973
Máximo,374,422,126,129,0.8189,0.8404,0.2442,0.8178,0.7841,0.8204,0.8113,0.8118
Media,349.50,411.00,105.00,95.50,0.7914,0.7854,0.2035,0.7965,0.7692,0.7910,0.7765,0.7769
