,"TP","TN","FP","FN","Acc","TPR","FPR","AUC","F1-score","G-measure"
Dummy,445,0,516,0,0.4631,1.0000,1.0000,0.5000,0.6330,0.6805
DecisionTree,318,420,96,127,0.7680,0.7146,0.1860,0.7643,0.7404,0.7409
GaussianNB,374,413,103,71,0.8189,0.8404,0.1996,0.8204,0.8113,0.8118
SupportVectorM,360,393,123,85,0.7836,0.8090,0.2384,0.7853,0.7759,0.7765
RandomForest,335,420,96,110,0.7856,0.7528,0.1860,0.7834,0.7648,0.7649
KNN,346,414,102,99,0.7908,0.7775,0.1977,0.7899,0.7749,0.7749
NeuralNetwork,366,410,106,79,0.8075,0.8225,0.2054,0.8085,0.7983,0.7986
Máximo,374,420,123,127,0.8189,0.8404,0.2384,0.8204,0.8113,0.8118
Media,349.8,411.7,104.3,95.2,0.7924,0.7861,0.2022,0.7920,0.7776,0.7779
